tis_number,tis_name_th,snapshot_date,num_manufacturing_licenses,num_import_licenses,import_dependency_ratio,domestic_share_ratio
1501-2564,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างเครื่องจักรกล,2025-11-01,21,42,0.6666666560846563,0.3333333280423281
1505-2541,ชิ้นส่วนคอนกรีตมวลเบาแบบมีฟองอากาศ-อบไอน้ำ,2025-11-01,0,0,0.0,0.0
1510-2541,แผ่นคอนกรีตมวลเบาเสริมเหล็กแบบมีฟองอากาศ-อบไอน้ำ,2025-11-01,0,0,0.0,0.0
1512-2563,สีย้อมไม้ชนิดน้ำ,2025-11-01,0,0,0.0,0.0
1513-2563,สีย้อมเคลือบไม้ชนิดตัวทำละลาย,2025-11-01,0,0,0.0,0.0
1521-2541,กาวสำหรับกระดาษ,2025-11-01,0,0,0.0,0.0
1529-2561,เครื่องปรับอากาศ คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,32,107,0.7697841671238549,0.23021582568190055
153-2565,อิฐกลวงก่อแผงไม่รับน้ำหนัก,2025-11-01,0,0,0.0,0.0
155-2562,น้ำหวานเข้มข้น,2025-11-01,0,0,0.0,0.0
156-2518,พิวเตอร์,2025-11-01,0,0,0.0,0.0
1561-2556,บริภัณฑ์เทคโนโลยีสารสนเทศ - ความปลอดภัย เล่ม 1 คุณลักษณะที่ต้องการทั่วไป,2025-11-01,0,0,0.0,0.0
1568-2541,บานประตูโพลิเอสเตอร์เสริมใยแก้ว,2025-11-01,0,0,0.0,0.0
