tis_number,tis_name_th,snapshot_date,num_manufacturing_licenses,num_import_licenses,num_display_licenses,total_licenses,num_manufacturing_licenses_diff,num_manufacturing_licenses_pct_change,num_import_licenses_diff,num_import_licenses_pct_change,num_display_licenses_diff,num_display_licenses_pct_change,total_licenses_diff,total_licenses_pct_change
2067-2552,ก๊อกน้ำสำหรับเครื่องสุขภัณฑ์ เฉพาะด้านสิ่งแวดล้อม : การประหยัดน้ำ,2025-11-01,76,487,0,563,,,,,,,,
207-2562,คลอรีนเหลว,2025-11-01,0,0,6,6,,,,,,,,
208-2566,ตาข่ายลวดเหล็กเคลือบสังกะสี,2025-11-01,0,0,1,1,,,,,,,,
2083-2544,ผลิตภัณฑ์ทำความสะอาดสำหรับกระเบื้องและเครื่องสุขภัณฑ์เซรามิก ประเภทสารลดแรงตึงผิว,2025-11-01,0,0,1,1,,,,,,,,
2084-2552,กระบอกฉีดอินซูลินปราศจากเชื้อชนิดใช้ครั้งเดียว,2025-11-01,0,0,1,1,,,,,,,,
2085-2556,เกลือบริโภคเสริมไอโอดีน,2025-11-01,0,0,1,1,,,,,,,,
2086-2556,เกลือบริโภคบริสุทธิ์เสริมไอโอดีน,2025-11-01,0,0,2,2,,,,,,,,
2090-2564,เบียร์,2025-11-01,0,0,1,1,,,,,,,,
21-2515,เครื่องเงิน,2025-11-01,0,0,2,2,,,,,,,,
2107-2544,หัวดับเพลิงไม่มีประตูน้ำ,2025-11-01,0,0,2,2,,,,,,,,
2109 เล่ม 2-2559,ฟิวส์แรงดันไฟฟ้าต่ำ เล่ม 2 คุณลักษณะที่ต้องการเพิ่มเติมสำหรับฟิวส์ที่ใช้โดยบุคคลที่ได้รับอนุญาต (ฟิวส์สำหรับใช้ในงานอุตสาหกรรมเป็นหลัก) - ตัวอย่างของระบบฟิวส์มาตรฐาน A ถึง K,2025-11-01,0,0,4,4,,,,,,,,
2115-2545,ไม้พื้นอัดซ้อนเคลือบผิวสำเร็จ,2025-11-01,0,0,1,1,,,,,,,,
2117-2545,ผลิตภัณฑ์ทำความสะอาดเครื่องครัว,2025-11-01,0,0,1,1,,,,,,,,
